                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.6475,                 3.4411,                  2.202,                0.02619,                0.25463,                0.01671,                0.00592,                 2.8443,                 7.0896,                 1.4426,                 0.0001,                 0.0001,                 0.0001
                      1,                 2.4746,                   3.19,                 2.0497,                 0.0381,                0.37037,                0.03223,                0.01253,                 2.7151,                   6.83,                 1.3807,             0.00021891,             0.00021891,             0.00021891
                      2,                 2.3977,                 2.7466,                 1.8784,                0.04714,                0.45833,                0.03858,                0.01384,                 2.6623,                 6.5298,                 1.3566,             0.00033663,             0.00033663,             0.00033663
                      3,                 2.2242,                 2.3323,                 1.7054,                0.05667,                0.55093,                0.17192,                0.06918,                 2.4976,                 6.1249,                 1.2123,             0.00045317,             0.00045317,             0.00045317
                      4,                 2.2439,                 2.1827,                 1.7681,                0.17614,                0.44907,                0.17839,                0.07852,                 2.1142,                 5.8007,                 1.1056,             0.00056852,             0.00056852,             0.00056852
                      5,                 2.1918,                 2.1071,                 1.7199,                0.23865,                0.17593,                0.12619,                0.05903,                 2.3372,                 5.5293,                 1.2536,             0.00068267,             0.00068267,             0.00068267
                      6,                 2.1424,                 2.0637,                 1.6998,                0.09575,                0.11574,                0.04726,                0.02353,                 2.6549,                 6.0105,                 1.3265,             0.00079565,             0.00079565,             0.00079565
                      7,                 2.1286,                 1.9752,                 1.6289,                0.18788,                0.15741,                 0.0717,                0.03673,                 2.9696,                 6.3497,                 1.5015,             0.00090743,             0.00090743,             0.00090743
                      8,                 2.0969,                 2.0263,                 1.6528,                0.02385,                0.18019,                0.01497,                 0.0068,                  3.652,                 7.5123,                 1.8461,               0.001018,               0.001018,               0.001018
                      9,                 2.1311,                 2.0191,                 1.7028,                0.05059,                0.14352,                0.02286,                0.00994,                  3.269,                 6.8249,                 1.6345,              0.0011274,              0.0011274,              0.0011274
                     10,                 1.9913,                 1.8858,                 1.5957,                0.38317,                   0.25,                0.18757,                0.09309,                 2.4791,                 4.7628,                 1.2151,              0.0012357,              0.0012357,              0.0012357
                     11,                 2.2075,                 1.9664,                 1.7151,                0.49344,                0.35185,                0.28602,                0.15081,                 2.2284,                   4.43,                 1.1128,              0.0013427,              0.0013427,              0.0013427
                     12,                 2.0915,                 1.8294,                 1.5993,                0.49867,                0.38889,                 0.3293,                0.15161,                 2.1478,                 4.1119,                 1.0722,              0.0014485,              0.0014485,              0.0014485
                     13,                 1.9655,                 1.8233,                 1.5684,                0.32889,                0.35648,                0.26877,                0.12097,                 2.1204,                 3.9758,                 1.0489,              0.0015532,              0.0015532,              0.0015532
                     14,                 1.9304,                 1.7885,                 1.5569,                0.36262,                0.41667,                0.30031,                0.13825,                 2.1068,                 4.3823,                 1.0374,              0.0016566,              0.0016566,              0.0016566
                     15,                 2.0555,                 1.9302,                 1.6144,                 0.3046,                0.29404,                0.22739,                0.09086,                 2.3906,                 4.5383,                 1.1082,              0.0017589,              0.0017589,              0.0017589
                     16,                  2.113,                 2.0496,                 1.7029,                0.32814,                   0.25,                0.22531,                0.09215,                  2.484,                 5.2211,                 1.1903,              0.0018416,              0.0018416,              0.0018416
                     17,                 2.0122,                 1.7748,                 1.5883,                0.14586,                0.14352,                0.06952,                0.02939,                 2.9156,                 6.0856,                 1.4119,              0.0018416,              0.0018416,              0.0018416
                     18,                 1.9838,                 1.8143,                  1.622,                0.25003,                0.15278,                0.10079,                0.04352,                 2.9203,                 5.5902,                 1.4779,              0.0018317,              0.0018317,              0.0018317
                     19,                 2.0406,                 1.8771,                 1.7058,                0.32991,                0.33796,                0.23539,                0.11237,                 2.1461,                 4.5759,                 1.0683,              0.0018218,              0.0018218,              0.0018218
                     20,                 2.0208,                 1.9282,                 1.6386,                0.28591,                0.41667,                0.25718,                0.09964,                 2.1894,                 4.0258,                 1.0719,              0.0018119,              0.0018119,              0.0018119
                     21,                 2.0025,                 1.7391,                 1.5264,                0.28907,                0.51389,                0.27483,                0.11359,                 2.0337,                 3.7935,                0.98965,               0.001802,               0.001802,               0.001802
                     22,                 1.9955,                 1.6978,                 1.5371,                0.30758,                0.50463,                0.36522,                0.16649,                 1.8609,                 3.6285,                0.92083,              0.0017921,              0.0017921,              0.0017921
                     23,                 1.9359,                 1.6722,                  1.456,                0.34818,                0.36111,                0.32719,                0.13893,                 1.8968,                 5.3937,                 1.0048,              0.0017822,              0.0017822,              0.0017822
                     24,                 1.8596,                 1.7074,                 1.5008,                0.31709,                0.32407,                0.27216,                0.11865,                 1.9231,                 5.0016,                 1.0085,              0.0017723,              0.0017723,              0.0017723
